id;species;date;point;earring number;recap;sex;weight (g);reproductive condition;age;head (mm);body (mm);tail (mm);ear  height (mm);ear width (mm);tibia (mm);paw (mm);Testicle height (mm);Testicle width (mm);note (botflies)
1;Hylaeamys megacephalus;27/01/2019;1.6 S;56;;F;60;pregnant closed vagina;;35.3;69.3;99.9;20.8;14.1;34.1;27.6;;;
2;Hylaeamys megacephalus;27/01/2019;2.7 S;98;;F;59;pregnant closed vagina;;35.2;78.9;97.3;19.2;12.8;31.9;25.2;;;
3;Hylaeamys megacephalus;29/01/2019;1.1 S;27;;M;65;;;37.4;83.1;106.4;19.4;12.6;33.5;26.8;;;
4;Hylaeamys megacephalus;29/01/2019;5.8 S;117;;F;63;non-lactating pregnant;;34.1;79.2;102.2;19.9;14;32.5;27.3;;;
5;Hylaeamys megacephalus;29/01/2019;4.4 S;71;;M;65;;;37.7;84.3;106;20.08;15.2;35.2;27.8;;;
6;Hylaeamys megacephalus;29/01/2019;4.5 S;67;;F;52;closed vagina ;;31.6;75.7;107.1;19;13;30.7;27.1;;;
7;Hylaeamys megacephalus;29/01/2019;2.4 S;98;yes;F;;;;;;;;;;;;;
8;Hylaeamys megacephalus;30/01/2019;1.3 S;71;yes;M;;;;;;;;;;;;;
9;Hylaeamys megacephalus;30/01/2019;4.4 S;71;yes;M;;;;;;;;;;;;;
10;Hylaeamys megacephalus;01/05/2019;5.6 S;185;;F;49;pregnant lactating closed vagina;;32.1;74.8;99.3;18;10.6;33.1;27.6;;;
11;Hylaeamys megacephalus;01/05/2019;4.6 S;56;;M;46; abdominal testicles;;32.5;80.8;94;18.8;12.5;32;28;;;
12;Hylaeamys megacephalus;01/05/2019;4.7 S;66;;F;41;closed vagina ;;32.4;73.6;99.6;21.2;14.5;30.9;26.8;;;botfly in the inguinal region
13;Hylaeamys megacephalus;01/05/2019;3.5 S;67;;F;46;pregnant closed vagina;;37.4;94.2;106;16.4;14.3;32.4;27.6;;;botfly in the inguinal region
14;Hylaeamys megacephalus;01/05/2019;3.4 S;98;;F;53;pregnant closed vagina;;35.3;83.6;100.5;19.7;12.7;32.1;25.7;;;
15;Hylaeamys megacephalus;01/05/2019;1.1 S;108;;M;39.5; abdominal testicles;;34.3;74.8;104;17.6;11.9;30.6;27.6;;;
16;Hylaeamys megacephalus;02/05/2019;2.2 S;179;;M;51; abdominal testicles;;23.2;86;101.7;17.6;14.2;34.2;17;;;
17;Hylaeamys megacephalus;02/05/2019;1.8 S;55;;M;59; abdominal testicles;;37.9;92.9;114.8;;;34.3;27.5;;;
18;Hylaeamys megacephalus;02/05/2019;4.5 S;35;;F;25;pregnant lactating closed vagina;;27.2;51.1;73.2;16.8;12;26.3;25.3;;;
19;Hylaeamys megacephalus;02/05/2019;3.8 S;70;;F;38;pregnant closed vagina;;31.6;70.6;94.6;17.9;14.8;28.6;26.7;;;
20;Hylaeamys megacephalus;02/05/2019;5.4 S;103;;F;56;pregnant lactating closed vagina;;34.3;79.3;105.5;20;11.6;35.7;26.1;;;botfly lesion in the inguinal region
21;Hylaeamys megacephalus;02/05/2019;5.6 S;62;;F;28;pregnant closed vagina;;30.2;66.7;80;18.7;11.6;25.3;23.5;;;
22;Hylaeamys megacephalus;02/05/2019;4.3 S;96;;M;41; abdominal testicles;;35.1;81.5;105.9;20.8;12.2;31.6;28.5;;;individual ate the botfly
23;Hylaeamys megacephalus;03/05/2019;1.2 S;30;;M;35; abdominal testicles;;30.5;71.7;86.5;17.8;12.7;27.4;26.8;;;
24;Hylaeamys megacephalus;03/05/2019;2.3 S;54;;M;50; abdominal testicles;;34.1;79;100.7;17.9;13;32.4;27.4;;;
25;Hylaeamys megacephalus;03/05/2019;4.4 S;39;;M;54; abdominal testicles;;32;83.4;92.9;20;13.9;33;25.9;;;
26;Hylaeamys megacephalus;03/05/2019;4.5 S;;;F;23;non-reproductive;;28.6;56.7;68.5;18.7;12.4;26;24.9;;;died under anesthesia
27;Hylaeamys megacephalus;04/05/2019;5,7 S;;;M;26; abdominal testicles;;27.2;61.1;72.1;20;13.7;25.7;25;;;euthanized 
28;Hylaeamys megacephalus;04/05/2019;1.8 S;49;;M;62; abdominal testicles;;33.3;87.1;109.1;20.8;14.9;33.4;28.9;;;
29;Hylaeamys megacephalus;04/05/2019;2.7 A;110;;F;35;pregnant closed vagina;;30.3;70.5;89.4;18.9;11.9;27.3;25.7;;;
30;Hylaeamys megacephalus;04/05/2019;5.1 S;37;;F;45;non-reproductive;;34.6;78;94.6;18.7;13.8;31.8;25.6;;;
31;Hylaeamys megacephalus;05/05/2019;1.4 S;189;;M;61; abdominal testicles;;36.3;92.2;92.5;21.5;15.3;35;28.3;;;
32;Hylaeamys megacephalus;05/05/2019;1.7 S;45;;F;62;pregnant lactating closed vagina;;33.8;85.7;108.3;22.5;15;29.8;24.6;;;botfly in the inguinal region
33;Hylaeamys megacephalus;05/05/2019;3,3 S;53;;M;50; abdominal testicles;;34.3;74.7;102.7;19.2;14.4;33.5;29.3;;;
34;Hylaeamys megacephalus;05/05/2019;4.7 S;122;;M;48; abdominal testicles;;36.4;76.8;102.1;18.1;10.6;32;27.4;;;
35;Hylaeamys megacephalus;05/05/2019;5.6 S;125;;M;77; abdominal testicles;;36.8;89.1;117.3;;11.4;36;30.2;;;
36;Hylaeamys megacephalus;05/05/2019;4.1 S;52;;M;30;;;28.9;51.1;78.2;16.6;8.7;25.6;24.8;;;3 botfly in the inguinal region, 2 fallen and 1 colected. thin blood
37;Hylaeamys megacephalus;02/05/2019;3.5 S;67;yes;F;;;;;;;;;;;;;
38;Hylaeamys megacephalus;03/05/2019;3.2 S;96;yes;M;;;;;;;;;;;;;
39;Hylaeamys megacephalus;03/05/2019;5.7 S;185;yes;F;;;;;;;;;;;;;
40;Hylaeamys megacephalus;03/05/2019;4.7 S;56;yes;M;;;;;;;;;;;;;
41;Hylaeamys megacephalus;03/05/2019;2.1 S;108;yes;M;;;;;;;;;;;;;
42;Hylaeamys megacephalus;04/05/2019;1.3 S;179;yes;M;;;;;;;;;;;;;
43;Hylaeamys megacephalus;04/05/2019;2.1 S;108;yes;M;;;;;;;;;;;;;died 
44;Hylaeamys megacephalus;04/05/2019;4.5 S;67;yes;F;;;;;;;;;;;;;
45;Hylaeamys megacephalus;04/05/2019;4.4 S;98;yes;F;;;;;;;;;;;;;
46;Hylaeamys megacephalus;04/05/2019;5.6 S;62;yes;F;;;;;;;;;;;;;euthanized for identification
47;Hylaeamys megacephalus;05/05/2019;2.3 S;179;yes;M;;;;;;;;;;;;;
48;Hylaeamys megacephalus;05/05/2019;2.8 S;55;yes;M;;;;;;;;;;;;;
49;Hylaeamys megacephalus;05/05/2019;3.8 S;70;yes;F;;;;;;;;;;;;;
50;Hylaeamys megacephalus;05/05/2019;5.4 S;37;yes;F;;;;;;;;;;;;;
51;Hylaeamys megacephalus;31/08/2019;4.6 S;35;;F;60;closed vagina ;;36.2;88.4;113.7;19.2;15.5;36.3;29.6;;;lost the earring
52;Hylaeamys megacephalus;31/08/2019;4.5 S;67;;F;53;closed vagina ;;34.7;91.3;106;20.2;15.7;33.9;28;;;
53;Hylaeamys megacephalus;31/08/2019;4.3 S;430;;F;39;closed vagina ;;34.3;76.9;93.6;19.2;13.4;30.3;28.3;;;
54;Hylaeamys megacephalus;31/08/2019;3.7 S;55;;M;64; abdominal testicles;;39.4;95.7;115.3;21.8;16;35.1;28.2;;;
55;Hylaeamys megacephalus;31/08/2019;1.1 S;482;;F;65;closed vagina ;;31;79.3;96.1;15.4;10.3;25.8;22.8;;;
56;Hylaeamys megacephalus;01/09/2019;2.4 S;113;;M;59; abdominal testicles;;39.9;95.4;59.3;16.1;12.1;35.4;28.7;;;without the tip of the tail
57;Hylaeamys megacephalus;01/09/2019;5.4 S;34;;M;52; abdominal testicles;;34.5;77.3;95.1;18.8;11.5;33.7;27.3;;;
58;Hylaeamys megacephalus;01/09/2019;4.1 S;484;;M;58; abdominal testicles;;37.2;80.5;11.8;21;14.8;34.5;30;;;
59;Hylaeamys megacephalus;03/09/2019;3.3 S;98;;F;42;closed vagina ;;38.1;88.7;106.6;19.2;12;33.4;27.2;;;
60;Hylaeamys megacephalus;04/09/2019;4.6 S;70;;M;52;;;35.5;81.2;95.7;19.9;16.5;31.4;27.7;;;
61;Hylaeamys megacephalus;04/09/2019;5.4 S;465;;M;43; abdominal testicles;;34.9;85.6;110;17.8;13.1;33.8;28.9;;;paw injury
62;Hylaeamys megacephalus;02/09/2019;4.2 S;430;yes;F;;;;;;;;;;;;;
63;Hylaeamys megacephalus;02/09/2019;1.5 S;113;yes;M;;;;;;;;;;;;;
64;Hylaeamys megacephalus;03/09/2019;2.4 S;113;yes;M;;;;;;;;;;;;;
65;Hylaeamys megacephalus;03/09/2019;3.7 S;35;yes;F;;;;;;;;;;;;;
66;Hylaeamys megacephalus;03/09/2019;4.2 S;430;yes;F;;;;;;;;;;;;;
67;Hylaeamys megacephalus;03/09/2019;;34;yes;M;;;;;;;;;;;;;
68;Hylaeamys megacephalus;03/09/2019;4.5 S;67;yes;F;;;;;;;;;;;;;
69;Hylaeamys megacephalus;04/09/2019;3.8 S;34;yes;M;;;;;;;;;;;;;
70;Hylaeamys megacephalus;04/09/2019;3.4 S;113;yes;M;;;;;;;;;;;;;
71;Hylaeamys megacephalus;02/11/2019;4.4 S;67;;F;57;closed vagina pregnant?;;36.9;93;106.6;17.5;16.2;32.8;28.2;;;
72;Hylaeamys megacephalus;02/11/2019;3.6 S;35;;F;75;pregnant lactating open vagina;;36.5;95.4;117.9;20.7;14.2;36.4;28.6;;;
73;Hylaeamys megacephalus;02/11/2019;2.8 S;419;;F;83;pregnant lactating open vagina;;41.1;93.3;108.8;20;12.8;38.2;28.8;;;
74;Hylaeamys megacephalus;02/11/2019;1.6 S;448;;F;73;lactating ;;37.6;91;120.3;;;36.1;29.6;;;botfly in the inguinal region
75;Hylaeamys megacephalus;04/11/2019;1.6 S;180;;F;64;closed vagina lactating;;35.9;87;111.9;21.7;12;33.6;27.8;;;
76;Hylaeamys megacephalus;05/11/2019;1.3 S;372;;M;25;;;31,.0;63.3;79.7;17.3;11.4;26.7;24.8;;;
77;Hylaeamys megacephalus;03/11/2019;4.6 S;35;yes;F;;;;;;;;;;;;;
78;Hylaeamys megacephalus;05/11/2019;3.7 S;35;yes;F;;;;;;;;;;;;;
79;Hylaeamys megacephalus;03/06/2021;4.1 A;35;not;M;35; abdominal testicles;;37.7;63.7;104.2;14.1;7.6;28.2;21.9;10.9;11.1;
80;Hylaeamys megacephalus;05/06/2021;1.4 A;24;not;F;70;closed vagina ;;41.9;90.2;106.8;19.2;17.9;37.1;30.2;;;
81;Hylaeamys megacephalus;05/06/2021;4.3 A;14;not;M;;;;34.9;77.4;96.2;16.2;14.1;33.4;30.1;;;
82;Hylaeamys megacephalus;05/06/2021;1.6 A;18;not;M;25;;;40.3;61.2;98.6;17.6;13.3;28;26.9;;;
83;Hylaeamys megacephalus;06/06/2021;5.3 A;70;not;M;37;;juvenile;36;74.7;98.8;16.5;14;32.5;28.4;;;
84;Hylaeamys megacephalus;06/06/2021;1.5 A;2;not;F;30;closed vagina ;juvenile;32.7;69.9;88.1;19;16.2;21;28.1;;;
85;Hylaeamys megacephalus;06/06/2021;5.6 A;18;yes;M;;;;;;;;;;;;;
86;Hylaeamys megacephalus;06/06/2021;.5.4 A;94;not;M;24;;juvenile;35.4;75.2;97.2;20;15;33.3;26.6;;;
87;Hylaeamys megacephalus;21/10/2021;2.8S;266;not;M;75; abdominal testicles;;35.9;81.3;118;18.6;13.9;34.4;26.7;;;
88;Hylaeamys megacephalus;21/10/2021;5.4S;263;not;F;56;open vagina lactanting;;35.1;94.5;108;13.6;13.6;28.7;26.9;;;
89;Hylaeamys megacephalus;22/10/2021;4.2S;255;not;M;56;;;37.3;84.6;93.1;16.9;13;34.5;27.7;12.8;9.6;
90;Hylaeamys megacephalus;22/10/2021;5.8S;253;not;M;41;;;36.6;74.2;103.3;17.4;9.9;33.3;28.1;;;
91;Hylaeamys megacephalus;22/10/2021;5.5S;272;not;F;54;pregnant;adult;36.7;68.1;80.7;15.9;11;26.5;24.8;;;
92;Hylaeamys megacephalus;22/10/2021;2.2S;274;not;F;;;;43;85.4;102.9;18.1;14.6;33.4;27.1;;;
93;Hylaeamys megacephalus;24/10/2021;4.2S;296;;;;;;;;;;;;;;;
94;Hylaeamys megacephalus;25/10/2021;2.7S;266;yes;;;;;;;;;;;;;;
95;Hylaeamys megacephalus;25/10/2021;2.1S;274;yes;;59;;;;;;;;;;;;
96;Hylaeamys megacephalus;25/10/2021;4.3S;296;yes;;;;;;;;;;;;;;
97;Hylaeamys megacephalus;16/11/2021;2.5S;253;not;M;49;;adult;35.5;85;103.8;21.2;12.1;33.6;26.2;14.4;13.5;botfly and tick
98;Hylaeamys megacephalus;19/12/2021;1.8S;258;not;M;53; abdominal testicles;;36;78;100;18;11;33;26;;;swelling the tip of the tail
99;Hylaeamys megacephalus;20/12/2021;1.8S;253;yes;;;;;;;;;;;;;;
100;Hylaeamys megacephalus;21/12/2021;1.2S;118;not;M;68;scrotal testicles;;37;82;112;18;17;34;28;;;
101;Hylaeamys megacephalus;18/1/2022;1.3S;118;not;M;65;;;35.6;;113.7;21;15.7;34.8;27.6;18.9;15.3;botfly
102;Hylaeamys megacephalus;18/1/2022;2.3S;144;not;F;53;lactating pregnant;;33.3;82.2;112.8;20.8;15.6;32.8;27.9;;;botfly
103;Hylaeamys megacephalus;19/01/2022;4.6S;193;not;F;74;pregnant;;36.4;89.2;82.7;17;14.5;31.5;28;;;mites, cut tail
104;Hylaeamys megacephalus;19/01/2022;1.1S;118;yes;;;;;;;;;;;;;;
105;Hylaeamys megacephalus;19/01/2022;4.4S;135;not;F;69;pregnant ;;38.2;83.9;116;20.1;9.4;33.8;28.2;;;mites
106;Hylaeamys megacephalus;21/01/2022;1.2S;118;yes;;;;;;;;;;;;;;
107;Hylaeamys megacephalus;21/01/2022;3.4S;135;yes;;;;;;;;;;;;;;
108;Hylaeamys megacephalus;21/01/2022;2.2S;161;not;M;; abdominal testicles;pup;23.5;44.8;63.6;14.7;10;20.3;21.9;;;mites
109;Hylaeamys megacephalus;21/01/2022;2.2S;168;not;M;11; abdominal testicles;pup;25.5;37.9;61.4;13.1;10.6;20;22.8;;;mites
110;Hylaeamys megacephalus;22/01/2022;3.2S;135;yes;;;;;;;;;;;;;;
111;Hylaeamys megacephalus;16/02/2022;1.6S;261;not;M;23g; abdominal testicles;pup;29.3;62.8;81.8;18.3;11.1;28.1;25.5;;;mites
112;Hylaeamys megacephalus;17/02/2022;2.5S;160;not;F;32g;closed vagina ;;31.5;58.2;96.1;17.6;12.7;25.6;26.1;;;
113;Hylaeamys megacephalus;19/02/2022;1.1S;141;not;F;39g;closed vagina ;;34.1;74.1;99.1;19;11.4;31.2;30.2;;;mites
114;Hylaeamys megacephalus;30/03/2022;5.4S;155;not;M;32g; abdominal testicles;;40;60;82;15;10;21;25;10;10;botfly in the inguinal region
115;Hylaeamys megacephalus;30/03/2022;5.8S;269;not;F;55g;pregnant closed vagina;adulta;40;83;93;15;15;25;30;;;tick 
116;Hylaeamys megacephalus;31/03/2022;5.8S;269;yes;F;;;;;;;;;;;;;
117;Hylaeamys megacephalus;31/03/2022;2.6S;117;not;F;24g;;pup;28.2;43;73.7;14;10.8;21;24.7;;;
118;Hylaeamys megacephalus;31/03/2022;2.5S;160;not;F;;pregnant ;;33.7;74.3;103.8;10.9;14.8;29.6;26;;;mites
119;Hylaeamys megacephalus;01/04/2022;5.4S;155;yes;;;;;;;;;;;;;;
120;Hylaeamys megacephalus;01/04/2022;5.8S;269;yes;;;;;;;;;;;;;;
121;Hylaeamys megacephalus;01/04/2022;4.6S;150;not;F;47g;pregnant ;;34.6;79;92;18.4;11.6;27.1;27.7;;;mites
122;Hylaeamys megacephalus;01/04/2022;1.2S;181;not;F;45g;pregnant ;;31.2;66;92.7;16;10.4;29.8;26.9;;;mites
123;Hylaeamys megacephalus;01/04/2022;3.4S;179;not;F;16g;;juvenile/pup;29.3;40.9;81;17.3;11.2;23.1;22.5;;;
124;Hylaeamys megacephalus;01/04/2022;2.1S;136;not;M;27g; abdominal testicles;juvenile;32.3;55.6;83.6;18.5;12.3;27.4;25.4;;;
125;Hylaeamys megacephalus;02/04/2022;1.2S;181;yes;;;;;;;;;;;;;;
126;Hylaeamys megacephalus;02/04/2022;1.5S;117;yes;;;;;;;;;;;;;;
127;Hylaeamys megacephalus;02/04/2022;5.4S;155;yes;;;;;;;;;;;;;;
128;Hylaeamys megacephalus;02/04/2022;5.5S;150;yes;;;;;;;;;;;;;;
129;Hylaeamys megacephalus;02/04/2022;5.8S;269;yes;;;;;;;;;;;;;;
130;Hylaeamys megacephalus;02/04/2022;2.8S;300;not;F;12,5g;;pup;26.8;42;61;11.9;9;21.3;22.6;;;mits
131;Hylaeamys megacephalus;02/04/2022;2.8S;ran away;not;;;;pup;32.4;;;;;;;;;ran away
132;Hylaeamys megacephalus;03/04/2022;2.1S;136;yes;;;;;;;;;;;;;;
133;Hylaeamys megacephalus;03/04/2022;2.7S;171;not;M;36g;scrotal testicles;;30.9;75.3;92.1;13.9;13.5;28.8;26;10.3;10.9;mites
134;Hylaeamys megacephalus;03/04/2022;2.7S;171;not;M;36g;scrotal testicles;;30.9;75.3;92.1;13.9;13.5;28.8;26;10.3;10.9;died 
135;Hylaeamys megacephalus;19/04/2022;4.4S;138;not;M;; abdominal testicles;juvenile;35.4;62.9;89.6;;;27.6;28.1;;;died 
136;Hylaeamys megacephalus;19/04/2022;3.1S;148;not;F;59g;closed vagina ;adult;37.3;79;104.5;17.1;9.3;29.5;28;;;
137;Hylaeamys megacephalus;19/04/2022;3.8S;171;not;M;46g; abdominal testicles;adult;33.5;76.2;96.4;18.9;11.4;28.2;27.6;8.4;8;botfly not collected because it is in its early stages
138;Hylaeamys megacephalus;19/04/2022;4.7S;269;not;F;62g;pregnant;adult;32.6;82.2;100.2;17.2;9.9;29.8;29.2;;;mites
139;Hylaeamys megacephalus;19/04/2022;5.5S;150;not;F;46g;closed vagina ;;33.9;71.2;94.4;17.6;11.9;27.2;26.4;;;botfly colected 
140;Hylaeamys megacephalus;19/04/2022;1.1S;525;not;M;46g; abdominal testicles;;33.7;88.3;100.1;17.1;17.7;28.4;26.1;;;
141;Hylaeamys megacephalus;19/04/2022;2.1S;514;not;M;43g; abdominal testicles;;38.2;61.9;96.6;15;12.9;30;26;;;botfly colected
142;Hylaeamys megacephalus;19/04/2022;2.6S;117;not;M;30g; abdominal testicles;juvenile;28;48.7;82.6;12.7;11.6;25.1;23.1;;;
143;Hylaeamys megacephalus;20/04/2022;5.2S;181;not;F;37g;closed vagina ;;31.8;;;;;;;;;
144;Hylaeamys megacephalus;20/04/2022;5.7S;269;yes;;;;;;;;;;;;;;
145;Hylaeamys megacephalus;20/04/2022;4.5S;150;yes;;;;;;;;;;;;;;
146;Hylaeamys megacephalus;20/04/2022;2.7;171;yes;M;;;;;;;;;;;;;botfly not collected because it is in its early stages
147;Hylaeamys megacephalus;21/04/2022;3.2S;181;yes;;;;;;;;;;;;;;
148;Hylaeamys megacephalus;21/04/2022;2.1S;525;yes;;;;;;;;;;;;;;
149;Hylaeamys megacephalus;21/04/2022;4.7S;171;yes;;;;;;;;;;;;;;
150;Hylaeamys megacephalus;21/04/2022;5.7S;199;not;M;51g; abdominal testicles;adult;37.4;80.7;108.4;13.2;12.3;36.2;30;17;10.8;mites
151;Hylaeamys megacephalus;22/04/2022;2.1S;514;yes;;;;;;;;;;;;;;
152;Hylaeamys megacephalus;22/04/2022;5.4S;155;not;M;; abdominal testicles;juvenile;1.2;63.4;86.9;14.9;12;28.5;25.2;;;botfly in the inguinal region
153;Hylaeamys megacephalus;22/04/2022;2.8S;195;not;;;;;;;;;;;;;;ran away
154;Hylaeamys megacephalus;22/04/2022;1.2S;511;not;F;36,5g;closed vagina ;;34.5;59.9;101;15.5;14.1;31.1;29.1;;;
155;Hylaeamys megacephalus;22/04/2022;5.6S;199;yes;;;;;;;;;;;;;;
156;Hylaeamys megacephalus;22/04/2022;4.6S;150;yes;;;;;;;;;;;;;;
157;Hylaeamys megacephalus;23/04/2022;4.7S;105;not;M;63g;scrotal testicles;adult;41.8;68.1;105;15.8;10.1;3.2;30.6;18.2;13.4;mites
158;Hylaeamys megacephalus;23/04/2022;1.4S;523;not;F;49g;closed vagina ;adulta;8.2;77.2;106;18.2;13.4;31.9;28.3;;;2 botfly, 1 more developed in the inguinal region and another less developed in the vagina
159;Hylaeamys megacephalus;23/04/2022;2.6S;117;not;F;30g;closed vagina ;juvenile;32.3;58;88.8;18.3;11;27.6;25.9;;;changing color 
160;Hylaeamys megacephalus;23/04/2022;5.1S;181;yes;;;;;;;;;;;;;;
161;Hylaeamys megacephalus;23/04/2022;5.7S;199;yes;;;;;;;;;;;;;;
162;Hylaeamys megacephalus;23/04/2022;4.6S;150;yes;;;;;;;;;;;;;;
163;Hylaeamys megacephalus;23/04/2022;2.1S;514;yes;;;;;;;;;;;;;;
164;Hylaeamys megacephalus;17/05/2022;5.7S;199;not;M;62;abdominal testicles;adult;35.5;96;112;18;13;32.5;29;NA;NA;
165;Hylaeamys megacephalus;17/05/2022;1.6S;117;not;F;32.5;closed vagina ;;18.1;35.8;96.5;NA;NA;30;26;;;
166;Hylaeamys megacephalus;17/05/2022;2.4S;200;not;F;51;open vagina ;;31;76;17;17;12.5;31;27;;;
167;Hylaeamys megacephalus;17/05/2022;3.6S;150;not;F;46.5;lactating ;adult;33.5;73;98;19;14.5;32;26.5;;;mites
168;Hylaeamys megacephalus;17/05/2022;2.1S;148;not;F;56.5;open vagina ;;37;88.5;110;19;13.5;33;29;;;
169;Hylaeamys megacephalus;17/05/2022;1.5S;506;not;M;58;abdominal testicles;;NA;NA;NA;NA;NA;NA;NA;NA;NA;very agitated individual, we were unable to measure
170;Hylaeamys megacephalus;17/05/2022;5.3S;503;not;F;38.2;closed vagina ;;35;67;97;15;11;28.5;27;;;botfly in the inguinal region
171;Hylaeamys megacephalus;17/05/2022;1.1S;525;not;M;17.2;hiden testicles;;17.2;41.1;17;7;NA;33;31;NA;NA;
172;Hylaeamys megacephalus;17/05/2022;3.3S;514;not;M;44.5;scrotal testicles;;35.5;71;98;17;13;33;26;14.5;14;broken tail
173;Hylaeamys megacephalus;17/05/2022;1.4A;182;not;F;71.2;open vagina ;;40.6;90.8;145;NA;NA;30.3;20.9;;;
174;Hylaeamys megacephalus;18/05/2022;3.2S;181;not;F;40g;closed vagina ;;36;67.6;97.5;17.9;13.1;29.4;28;;;mites
175;Hylaeamys megacephalus;18/05/2022;2.5S;155;not;M;38g;abdominal testicles;;33;73;88;16;10;31;25;;;tick colected
176;Hylaeamys megacephalus;18/05/2022;2.4S;151;not;M;63g;;;39;86;104.5;17;10;36;28;;;
177;Hylaeamys megacephalus;18/05/2022;4.6S;150;yes;;;;;;;;;;;;;;
178;Hylaeamys megacephalus;18/05/2022;4.7S;199;yes;;;;;;;;;;;;;;
179;Hylaeamys megacephalus;18/05/2022;2.2S;514;yes;;;;;;;;;;;;;;
180;Hylaeamys megacephalus;19/05/2022;1.5S;506;yes;M;;;;37;74;125;;;31.5;28;;;
181;Hylaeamys megacephalus;19/05/2022;1.6S;117;yes;;;;;;;;;;;;;;died (cold)
182;Hylaeamys megacephalus;19/05/2022;1.5S;506;yes;;;;;;;;;;;;;;
183;Hylaeamys megacephalus;19/05/2022;5.7S;199;yes;;;;;;;;;;;;;;
184;Hylaeamys megacephalus;19/05/2022;2.4S;200;yes;;;;;;;;;;;;;;
185;Hylaeamys megacephalus;19/05/2022;4.6S;150;yes;;;;;;;;;;;;;;
186;Hylaeamys megacephalus;19/05/2022;3.4S;151;yes;;;;;;;;;;;;;;
187;Hylaeamys megacephalus;19/05/2022;3.2S;181;yes;;;;;;;;;;;;;;
188;Hylaeamys megacephalus;19/05/2022;4.2S;514;yes;;;;;;;;;;;;;;
189;Hylaeamys megacephalus;19/05/2022;4.5S;155;yes;;;;;;;;;;;;;;
190;Hylaeamys megacephalus;20/05/2022;3.2S;181;not;F;35;closed vagina ;;34.5;69.1;95.9;15.1;11.1;30.7;24.9;;;
191;Hylaeamys megacephalus;20/05/2022;1.7S;195;not;F;40;closed vagina ;;35.3;75.2;73.2;17.4;12.5;31;26.5;;;tail injury
192;Hylaeamys megacephalus;20/05/2022;3.4S;151;yes;;;;;;;;;;;;;;
